居住地,合計,業務,觀光,探親,會議,求學,展覽,醫療,其他,時間
總計,811107.0,42702.0,486565.0,52906.0,2359.0,2735.0,486.0,6878.0,216476.0,109/01
總計,357252.0,22525.0,175380.0,12888.0,1146.0,4117.0,165.0,436.0,140595.0,109/02
總計,78239.0,5401.0,31998.0,5157.0,236.0,939.0,59.0,171.0,34278.0,109/03
總計,2557.0,234.0,10.0,299.0,0.0,34.0,0.0,15.0,1965.0,109/04
總計,3213.0,419.0,11.0,414.0,1.0,48.0,1.0,20.0,2299.0,109/05
總計,7298.0,772.0,12.0,676.0,2.0,23.0,1.0,51.0,5761.0,109/06
總計,11719.0,1216.0,21.0,1011.0,7.0,103.0,1.0,69.0,9291.0,109/07
總計,18431.0,1606.0,47.0,1062.0,6.0,2675.0,4.0,75.0,12956.0,109/08
總計,23486.0,1522.0,38.0,1038.0,27.0,6962.0,4.0,82.0,13813.0,109/09
總計,18950.0,1773.0,24.0,1092.0,19.0,1528.0,6.0,99.0,14409.0,109/10
總計,21114.0,1864.0,26.0,1557.0,18.0,223.0,14.0,118.0,17294.0,109/11
總計,21358.0,1267.0,20.0,1772.0,10.0,100.0,3.0,177.0,18009.0,109/12
總計,14655.0,1514.0,26.0,1185.0,6.0,59.0,3.0,76.0,11786.0,110/01
總計,12654.0,1501.0,18.0,550.0,5.0,133.0,4.0,50.0,10393.0,110/02
總計,18383.0,1877.0,25.0,803.0,12.0,612.0,4.0,140.0,14910.0,110/03
總計,17788.0,1905.0,36.0,963.0,14.0,242.0,3.0,95.0,14530.0,110/04
總計,10686.0,1058.0,21.0,649.0,2.0,119.0,1.0,55.0,8781.0,110/05
總計,2710.0,36.0,1.0,19.0,0.0,1.0,0.0,17.0,2636.0,110/06
總計,5411.0,291.0,0.0,66.0,0.0,6.0,2.0,19.0,5027.0,110/07
總計,7901.0,514.0,1.0,117.0,0.0,223.0,0.0,112.0,6934.0,110/08
總計,12145.0,689.0,3.0,190.0,2.0,3499.0,3.0,60.0,7699.0,110/09
總計,14062.0,775.0,7.0,487.0,8.0,2139.0,5.0,52.0,10589.0,110/10
總計,13245.0,1098.0,5.0,719.0,7.0,494.0,4.0,70.0,10848.0,110/11
總計,9670.0,672.0,13.0,792.0,46.0,115.0,0.0,62.0,7970.0,110/12
總計,7492.0,642.0,1.0,593.0,1.0,11.0,1.0,37.0,6206.0,111/01
總計,10717.0,902.0,6.0,553.0,3.0,439.0,0.0,65.0,8749.0,111/02
總計,20009.0,1611.0,9.0,785.0,34.0,926.0,9.0,98.0,16537.0,111/03
總計,29742.0,2515.0,14.0,934.0,15.0,317.0,5.0,94.0,25848.0,111/04
總計,32409.0,2668.0,27.0,1554.0,36.0,725.0,2.0,83.0,27314.0,111/05
總計,37731.0,2720.0,29.0,2587.0,33.0,872.0,10.0,126.0,31354.0,111/06
總計,49877.0,4314.0,71.0,4371.0,163.0,342.0,12.0,131.0,40473.0,111/07
總計,66074.0,4929.0,61.0,3501.0,167.0,3462.0,32.0,145.0,53777.0,111/08
總計,68221.0,7049.0,543.0,4708.0,194.0,3718.0,99.0,167.0,51743.0,111/09
總計,93076.0,15774.0,17998.0,10260.0,1092.0,906.0,398.0,250.0,46398.0,111/10
